model,scenario,final_energy_demand,energy_diversity,gini_coefficient,electricity_price,resilience_score
IMAGE 3.2,SSP1_SPA1_19I_D,0.11376240790140699,0.05997623475587576,0.0,0.49255822212978223,0.666296864787065
IMAGE 3.2,SSP1_SPA1_19I_D_LB,0.03307721552386894,0.11142340101855708,0.0,0.5666650988644079,0.7111657154068338
IMAGE 3.2,SSP1_SPA1_19I_LI,0.0,0.04732200942757776,0.0,0.49900176559087794,0.5463237750184557
IMAGE 3.2,SSP1_SPA1_19I_LIRE,0.14845752242912513,0.0,0.0,0.512677351907146,0.6611348743362712
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,0.08338981296623128,0.0898037966580683,0.0,0.537173380956449,0.7103669905807486
IMAGE 3.2,SSP1_SPA1_19I_RE,0.12911632100734607,0.10281318528436383,0.0,0.5652622596857295,0.7971917659774395
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,0.047698691528112076,0.16373400358860782,0.0,0.5946206017026516,0.8060532968193715
IMAGE 3.2,SSP2_SPA1_19I_D_LB,0.2128856058065761,0.04559327594884465,1.0,0.5088681057423414,1.767346987497762
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,0.0848675546053226,0.07438829085155209,1.0,0.532984446040584,1.6922402914974586
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,0.21397830393556994,0.08609509203042469,1.0,0.5337327437692099,1.8338061397352046
IMAGE 3.2,SSP2_SPA2_19I_D,0.2745587563918896,0.04023548531513649,1.0,0.5094929792867251,1.824287220993751
IMAGE 3.2,SSP2_SPA2_19I_LI,0.1401731953312744,0.005403646506608638,1.0,0.5286786701044376,1.6742555119423206
IMAGE 3.2,SSP2_SPA2_19I_LIRE,0.27230317140376725,0.036177445831729646,1.0,0.5283796714383258,1.8368602886738226
IMAGE 3.2,SSP2_SPA2_19I_RE,0.25299325071681494,0.04714271797820629,1.0,0.552638165747818,1.8527741344428392
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,0.4412942185081533,0.12283799584213236,1.0,0.5668967417306772,2.131028956080963
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,0.43782216792538814,0.13610872697757778,1.0,0.5706771012196298,2.1446079961225957
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,0.5348741882092569,0.11003869114774158,1.0,0.5834774729754078,2.228390352332406
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,0.5083060212628481,0.10357102659301985,1.0,0.5614476934897221,2.1733247413455903
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,0.5077658159650663,0.11470070870380936,1.0,0.5570618068842336,2.1795283315531093
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,0.5366996844178645,0.11877039464646186,1.0,0.5809406558530693,2.2364107349173956
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,0.48325511882824956,0.3255886994693997,1.0,0.5902045343950478,2.399048352692697
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,0.520570461928834,0.27818691337128215,1.0,0.580483569635946,2.379240944936062
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,0.5613277105855742,0.22566781415538004,1.0,0.5686803493097082,2.3556758740506627
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,0.5399257209347496,0.1798600764057052,1.0,0.6122968292876282,2.332082626628083
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,0.579410847921726,0.20471592419705562,1.0,0.5619449498042076,2.346071721922989
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,0.5721332531271852,0.1970071723140889,1.0,0.6330768712443124,2.4022172966855866
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,0.596322261002917,0.18619892518350506,1.0,0.5567993630407709,2.339320549227193
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,0.6136437948136527,0.1720733510728239,1.0,0.5815385408762221,2.367255686762699
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,0.5704884313797421,0.15129280459054067,1.0,0.5575820498831009,2.2793632858533837
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,0.573168646952083,0.36829107513875525,1.0,0.6521964147111791,2.5936561368020175
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,0.6419365248952432,0.2120682654031647,1.0,0.5771922586974491,2.4311970489958568
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,0.634684830374742,0.19063760528599064,1.0,0.5626835790969931,2.3880060147577256
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,0.6268793119179877,0.1847209699090944,1.0,0.5632175890386627,2.3748178708657446
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,0.6214508506747848,0.17095670804969923,1.0,0.5735669079001777,2.3659744666246616
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,0.6203601778467425,0.16726158036615313,1.0,0.5524642449708485,2.3400860031837443
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,0.5761766731220801,0.13946442055784572,1.0,0.5336928217636134,2.2493339154435392
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,0.45775184211101577,0.41463131650976526,1.0,0.6006900483778491,2.47307320699863
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,0.6675896727133522,0.20958166066763773,1.0,0.5390964772092252,2.4162678105902153
