index,economic_score,environmental_score,resource_score,resilience_score,robustness_score,cluster
"('AIM/CGE 2.2', 'EN_NPi2020_300f')",0.125529751098739,0.9419221036950052,0.4595975290533832,0.4963949464720524,0.5686804153812473,2.0
"('IMAGE 3.2', 'SSP1_SPA1_19I_RE_LB')",0.2981799960514609,0.1693584260840116,0.8906444545230044,0.0823492869980127,0.6664205220636497,1.0
"('WITCH 5.0', 'EN_NPi2020_400f')",0.0,0.0005837488058504,0.2529777728628608,0.5318049687628776,0.3422184172192025,3.0
"('REMIND-MAgPIE 1.7-3.0', 'PEP_1p5C_red_eff')",1.0,0.5843573352336725,0.9430406827571,0.9940223647141588,0.5786416114336459,0.0
