,model,scenario,economic_score,environmental_score,resource_score,resilience_score,robustness_score,fairness_score,cluster,model_family
0,IMAGE 3.2,SSP1_SPA1_19I_D,0.0854867913671774,0.464990336810444,0.0,0.0466839749304714,0.899972874042448,1.0,1,IMAGE
1,IMAGE 3.2,SSP1_SPA1_19I_D_LB,0.1339767220974563,0.4463518776767474,0.6974264518299764,0.0641433593768694,0.5061721504608425,0.8531093340311722,1,IMAGE
2,IMAGE 3.2,SSP1_SPA1_19I_LI,0.0396606654121095,0.4556029801299626,0.0,0.0,0.9325780220607996,0.9417819119825532,1,IMAGE
3,IMAGE 3.2,SSP1_SPA1_19I_LIRE,0.2796204394246859,0.4558561889340451,0.0,0.0446753392167379,1.0,0.88933135783869,1,IMAGE
4,IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,0.3368874645230711,0.4402723611364891,0.0,0.0638325592647007,0.5728268022633949,0.7471748769478743,1,IMAGE
5,IMAGE 3.2,SSP1_SPA1_19I_RE,0.2152721201900839,0.4556229622921991,0.0,0.0976178493308358,0.7865682677311856,0.9844457488630248,1,IMAGE
6,IMAGE 3.2,SSP1_SPA1_19I_RE_LB,0.311840210945197,0.4433267669464512,0.894894147846657,0.1010660516274361,0.5023908669581425,0.8725038974455501,1,IMAGE
7,IMAGE 3.2,SSP2_SPA1_19I_D_LB,0.1627449664288211,0.5067280308233623,0.0,0.4751250230434776,0.5284431072143183,0.8004124004361758,1,IMAGE
8,IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,0.3333513029960385,0.6821635552585451,0.0,0.4458994765484159,0.5038802379286019,0.7406908962899339,1,IMAGE
9,IMAGE 3.2,SSP2_SPA1_19I_RE_LB,0.4169282108910608,0.5039634249409756,0.0,0.5009856339766217,0.4497718666370459,0.825115317233813,1,IMAGE
10,IMAGE 3.2,SSP2_SPA2_19I_D,0.1874027034457225,0.5347510606095921,0.0,0.4972816286471908,0.9798013920614048,0.884293821775115,1,IMAGE
11,IMAGE 3.2,SSP2_SPA2_19I_LI,0.1198164053156987,0.6978412371717124,0.0,0.4389012321962745,0.8932292709374751,0.883337860100304,1,IMAGE
12,IMAGE 3.2,SSP2_SPA2_19I_LIRE,0.4411412530098449,0.7159426620161774,0.0,0.5021740655887384,0.8334269238485927,0.8519254472107866,1,IMAGE
13,IMAGE 3.2,SSP2_SPA2_19I_RE,0.451256916231042,0.5349413634961873,0.0,0.5083664673878506,0.8290032193512517,0.8492812958326638,1,IMAGE
14,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,0.0990178540974925,0.5654283929373985,0.0,0.6166410908279131,0.5370332503354829,0.773364947763387,1,MESSAGE
15,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,0.0992715821112738,0.5649463843551827,0.0,0.621924972122511,0.5197299749730256,0.7292059921798846,1,MESSAGE
16,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,0.0643827756252519,0.5620807890007672,0.0,0.6545263948620459,0.613013771439334,0.6041653033759233,1,MESSAGE
17,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,0.0996630816258115,0.5592676339546694,0.0,0.6330992430916144,0.544334168809695,0.7682941434943231,1,MESSAGE
18,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,0.096930667501522,0.5593396506205771,0.0,0.6355131865041355,0.5279666122497387,0.7235378871637156,1,MESSAGE
19,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,0.0640387964304785,0.563444636854562,0.0,0.6576472892247118,0.6049611637835054,0.5494242207317,1,MESSAGE
20,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,0.1134150087423748,0.5540828310631292,0.5178393495618342,0.7209329017367964,0.1573031717044196,0.2884017823574804,2,MESSAGE
21,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,0.1044204923258104,0.5497865952416303,0.328838292762293,0.713225435596416,0.2036508362836125,0.3470743399583562,2,MESSAGE
22,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,0.0956249542738684,0.5508947066372112,0.3179691825517599,0.7040557861311023,0.2401656552791606,0.3805263377092242,2,MESSAGE
23,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,0.128414245458633,0.600759585211285,0.6283042136982132,0.6948751726007812,0.0,0.1377685282678877,2,MESSAGE
24,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,0.0906162013494965,0.5516782637574229,0.3102636699971539,0.7003186147535752,0.2589881645795072,0.4010475011993229,2,MESSAGE
25,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,0.113134513657389,0.6030500275442111,0.6150277802186982,0.7221660024446757,0.0532897112172886,0.1895550491633769,2,MESSAGE
26,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,0.0834589971796869,0.5537816995231307,0.2989712033606394,0.6976915958321678,0.2782502180611826,0.4165785458414174,2,MESSAGE
27,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,0.0939468948680749,0.6038200433227139,0.535675379758831,0.7085617273166706,0.1632424348300791,0.276216573102443,2,MESSAGE
28,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,0.1108582196328491,0.6008476746530427,0.0,0.6743610023995819,0.140342672159392,0.5005684881183775,2,MESSAGE
29,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,0.0672259862027446,0.6059359058693637,0.3211863847737459,0.7966587576946313,0.3176520480719088,0.3408038809176048,2,MESSAGE
