model,scenario,ssp_gini_coefficient,ssp
AIM/CGE 2.2,EN_NPi2020_300f,0.3498976646875,2
AIM/CGE 2.2,EN_NPi2020_400f,0.3498976646875,2
AIM/CGE 2.2,EN_NPi2020_500f,0.3498976646875,2
AIM/CGE 2.2,EN_NPi2020_600,0.3498976646875,2
AIM/CGE 2.2,EN_NPi2020_600f,0.3498976646875,2
GCAM 5.3,NGFS2_Divergent Net Zero Policies,0.3498976646875,2
GCAM 5.3,NGFS2_Net-Zero 2050,0.3498976646875,2
IMAGE 3.2,SSP1_SPA1_19I_D,0.28901663075,1
IMAGE 3.2,SSP1_SPA1_19I_D_LB,0.28901663075,1
IMAGE 3.2,SSP1_SPA1_19I_LI,0.28901663075,1
IMAGE 3.2,SSP1_SPA1_19I_LIRE,0.28901663075,1
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,0.28901663075,1
IMAGE 3.2,SSP1_SPA1_19I_RE,0.28901663075,1
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,0.28901663075,1
IMAGE 3.2,SSP2_SPA1_19I_D_LB,0.3498976646875,2
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,0.3498976646875,2
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,0.3498976646875,2
IMAGE 3.2,SSP2_SPA2_19I_D,0.3498976646875,2
IMAGE 3.2,SSP2_SPA2_19I_LI,0.3498976646875,2
IMAGE 3.2,SSP2_SPA2_19I_LIRE,0.3498976646875,2
IMAGE 3.2,SSP2_SPA2_19I_RE,0.3498976646875,2
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,0.3498976646875,2
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,0.3498976646875,2
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,0.3498976646875,2
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,0.3498976646875,2
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,0.3498976646875,2
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,0.3498976646875,2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,0.3498976646875,2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,0.3498976646875,2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,0.3498976646875,2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,0.3498976646875,2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,0.3498976646875,2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,0.3498976646875,2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,0.3498976646875,2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,0.3498976646875,2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,0.3498976646875,2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,0.3498976646875,2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,0.3498976646875,2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,0.3498976646875,2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,0.3498976646875,2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,0.3498976646875,2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,0.3498976646875,2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,0.3498976646875,2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,0.3498976646875,2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,0.3498976646875,2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,0.3498976646875,2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,0.3498976646875,2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,0.3498976646875,2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,0.3498976646875,2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,0.3498976646875,2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,0.3498976646875,2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,0.3498976646875,2
MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies,0.3498976646875,2
MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050,0.3498976646875,2
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_50,0.3498976646875,2
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_50,0.3498976646875,2
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_100,0.3498976646875,2
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_120,0.3498976646875,2
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_80,0.3498976646875,2
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB400,0.3498976646875,2
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB450,0.3498976646875,2
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB500,0.3498976646875,2
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB550,0.3498976646875,2
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB600,0.3498976646875,2
