model,scenario,version,region,variable,unit,year,value,Climate Category|SCI 2025 [Tier III],Climate Category|SCI 2025 [Tier II],Climate Category|SCI 2025 [Tier I],Vetting|SCI 2025
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Carbon Capture|Geological Storage|Biomass,Mt CO2/yr,2025,2.0804607123843715,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Carbon Capture|Geological Storage|Biomass,Mt CO2/yr,2020,0.0,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Carbon Capture|Geological Storage|Biomass,Mt CO2/yr,2035,147.42774155494857,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Carbon Removal|Land Use,Mt CO2/yr,2100,3992.729823157572,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Carbon Removal|Land Use,Mt CO2/yr,2090,3507.8340970685176,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Carbon Removal|Land Use,Mt CO2/yr,2080,2999.963701044056,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Carbon Removal|Land Use,Mt CO2/yr,2070,2304.660578778291,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Carbon Removal|Land Use,Mt CO2/yr,2060,2049.904724148503,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Carbon Removal|Land Use,Mt CO2/yr,2045,1524.7077645257405,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Carbon Removal|Land Use,Mt CO2/yr,2050,1400.1232386908216,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Carbon Removal|Land Use,Mt CO2/yr,2035,1350.8964082833363,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Carbon Removal|Land Use,Mt CO2/yr,2030,981.4196428555368,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Carbon Removal|Land Use,Mt CO2/yr,2025,690.578336579796,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Carbon Removal|Land Use,Mt CO2/yr,2020,654.2177846629111,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Carbon Removal|Land Use,Mt CO2/yr,2040,1417.0312783416862,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Emissions|CO2,Mt CO2/yr,2100,-16.406147481502455,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Emissions|CO2,Mt CO2/yr,2090,77.51212120760808,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Emissions|CO2,Mt CO2/yr,2080,362.6074066491752,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Emissions|CO2,Mt CO2/yr,2070,311.0511169716368,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Emissions|CO2,Mt CO2/yr,2060,3313.6125898194664,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Emissions|CO2,Mt CO2/yr,2045,10919.80957130521,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Emissions|CO2,Mt CO2/yr,2050,7675.950033249896,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Emissions|CO2,Mt CO2/yr,2035,28016.786949161564,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Emissions|CO2,Mt CO2/yr,2030,39412.412763999615,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Emissions|CO2,Mt CO2/yr,2025,40908.85319382315,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Emissions|CO2,Mt CO2/yr,2020,42090.325524659725,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Emissions|CO2,Mt CO2/yr,2040,19574.958335112875,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Final Energy,EJ/yr,2100,514.67559375,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Final Energy,EJ/yr,2090,481.1995,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Final Energy,EJ/yr,2080,455.4538125,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Final Energy,EJ/yr,2070,422.5311875,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Final Energy,EJ/yr,2060,376.2065,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Final Energy,EJ/yr,2045,357.6585,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Final Energy,EJ/yr,2050,355.51018750000003,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Final Energy,EJ/yr,2035,381.9255,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Final Energy,EJ/yr,2030,443.8226875,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Final Energy,EJ/yr,2025,424.1418125,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Final Energy,EJ/yr,2020,415.81590625,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Final Energy,EJ/yr,2040,364.52809375,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Final Energy|Electricity,EJ/yr,2100,248.188703125,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Final Energy|Electricity,EJ/yr,2090,230.664703125,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Final Energy|Electricity,EJ/yr,2080,206.872796875,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Final Energy|Electricity,EJ/yr,2070,194.915296875,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Final Energy|Electricity,EJ/yr,2060,172.45440625,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Final Energy|Electricity,EJ/yr,2050,131.41790625000002,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Final Energy|Electricity,EJ/yr,2045,112.9625,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Final Energy|Electricity,EJ/yr,2040,101.481203125,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Final Energy|Electricity,EJ/yr,2030,108.6971015625,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Final Energy|Electricity,EJ/yr,2035,100.984203125,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Final Energy|Electricity,EJ/yr,2025,97.6520234375,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Final Energy|Electricity,EJ/yr,2020,87.26265625,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,GDP|MER,billion USD_2010/yr,2100,481607.8129068801,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,GDP|MER,billion USD_2010/yr,2090,402826.76201408,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,GDP|MER,billion USD_2010/yr,2080,334675.83229504,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,GDP|MER,billion USD_2010/yr,2070,275931.05080704,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,GDP|MER,billion USD_2010/yr,2060,225283.40562304,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,GDP|MER,billion USD_2010/yr,2050,183026.66939104,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,GDP|MER,billion USD_2010/yr,2045,164049.87796992002,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,GDP|MER,billion USD_2010/yr,2035,128253.58776096,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,GDP|MER,billion USD_2010/yr,2030,111729.536524,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,GDP|MER,billion USD_2010/yr,2025,95395.00630816,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,GDP|MER,billion USD_2010/yr,2020,79771.52996736001,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,GDP|MER,billion USD_2010/yr,2040,145692.96012896,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Investment|Energy Supply,billion USD_2010/yr,2060,2596.2932904963327,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Investment|Energy Supply,billion USD_2010/yr,2070,1990.727539369769,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Investment|Energy Supply,billion USD_2010/yr,2050,2340.397974613973,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Investment|Energy Supply,billion USD_2010/yr,2090,3128.8969439165257,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Investment|Energy Supply,billion USD_2010/yr,2100,2680.4258705491966,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Investment|Energy Supply,billion USD_2010/yr,2080,1935.791761963095,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Investment|Energy Supply,billion USD_2010/yr,2045,2148.428928737446,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Investment|Energy Supply,billion USD_2010/yr,2040,1351.223187425604,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Investment|Energy Supply,billion USD_2010/yr,2035,1084.172950710548,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Investment|Energy Supply,billion USD_2010/yr,2030,1298.4674624200409,GW4-IIc,GW4,GW4,ok
