Model,Scenario,Category,Category_name,Category_subset,Vetting,Category_Vetting_historical,Project_study,Ssp_family,version
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f,GW3,GW3b,GW3-IIa,ok,ok,SCI 2025,2,1
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV,GW3,GW3b,GW3-IIa,ok,ok,SCI 2025,2,1
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV-NDCp,GW3,GW3b,GW3-IIa,ok,ok,SCI 2025,2,1
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-NDCp,GW3,GW3b,GW3-IIa,ok,ok,SCI 2025,2,1
POLES-JRC ENGAGE,ENGAGE-INDCi2030-700f,GW3,GW3b,GW3-IIa,ok,ok,SCI 2025,2,1
POLES-JRC ENGAGE,ENGAGE-INDCi2030-800f,GW3,GW3b,GW3-IIa,ok,ok,SCI 2025,2,1
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900,GW3,GW3b,GW3-IIb,ok,ok,SCI 2025,2,1
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900f,GW4,GW4,GW4-IIa,ok,ok,SCI 2025,2,1
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f,GW4,GW4,GW4-IIa,ok,ok,SCI 2025,2,1
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f-COV,GW4,GW4,GW4-IIb,ok,ok,SCI 2025,2,1
POLES-JRC ENGAGE,ENGAGE-NPi2020-1200f,GW4,GW4,GW4-IIb,ok,ok,SCI 2025,2,1
POLES-JRC ENGAGE,ENGAGE-NPi2020-900f,GW4,GW4,GW4-IIa,ok,ok,SCI 2025,2,1
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition,GW3,GW3b,GW3-IIb,ok,ok,SCI 2025,2,1
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150,GW4,GW4,GW4-IIa,ok,ok,SCI 2025,2,1
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE,GW4,GW4,GW4-IIa,ok,ok,SCI 2025,2,1
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,GW3,GW3a,GW3-I,ok,ok,SCI 2025,2,1
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,GW3,GW3a,GW3-I,ok,ok,SCI 2025,2,1
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,GW3,GW3b,GW3-IIb,ok,ok,SCI 2025,2,1
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,GW3,GW3b,GW3-IIb,ok,ok,SCI 2025,2,1
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,GW3,GW3b,GW3-IIb,ok,ok,SCI 2025,2,1
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,GW3,GW3b,GW3-IIb,ok,ok,SCI 2025,2,1
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,GW2,GW2a,GW2-I,ok,ok,SCI 2025,2,1
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,GW2,GW2a,GW2-II,ok,ok,SCI 2025,2,1
WITCH 5.0,ENGAGE-INDCi2030-1000,GW3,GW3b,GW3-IIb,ok,ok,SCI 2025,2,1
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,GW3,GW3b,GW3-IIb,ok,ok,SCI 2025,2,1
