model,scenario,version,region,variable,unit,year,value,Climate Category|SCI 2025 [Tier III],Climate Category|SCI 2025 [Tier II],Climate Category|SCI 2025 [Tier I],Vetting|SCI 2025
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Carbon Capture|Geological Storage|Biomass,Mt CO2/yr,2060,625.2102085685761,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Carbon Capture|Geological Storage|Biomass,Mt CO2/yr,2045,678.7795543003425,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Carbon Capture|Geological Storage|Biomass,Mt CO2/yr,2040,400.129228834189,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Carbon Capture|Geological Storage|Biomass,Mt CO2/yr,2035,82.85841296251586,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Carbon Capture|Geological Storage|Biomass,Mt CO2/yr,2030,21.52718894761155,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Carbon Capture|Geological Storage|Biomass,Mt CO2/yr,2025,3.065683213307093,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Carbon Capture|Geological Storage|Biomass,Mt CO2/yr,2020,0.0,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Carbon Removal|Land Use,Mt CO2/yr,2100,2178.815335990098,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Carbon Removal|Land Use,Mt CO2/yr,2090,2338.7092767702,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Carbon Removal|Land Use,Mt CO2/yr,2070,2157.504519643821,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Carbon Removal|Land Use,Mt CO2/yr,2060,1885.679614358333,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Carbon Removal|Land Use,Mt CO2/yr,2050,1536.201163412338,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Carbon Removal|Land Use,Mt CO2/yr,2045,1229.873362109113,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Carbon Removal|Land Use,Mt CO2/yr,2080,2316.04000364996,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Carbon Removal|Land Use,Mt CO2/yr,2035,335.2747517942705,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Carbon Removal|Land Use,Mt CO2/yr,2030,132.9720807382649,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Carbon Removal|Land Use,Mt CO2/yr,2025,0.0,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Carbon Removal|Land Use,Mt CO2/yr,2020,0.0,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Carbon Removal|Land Use,Mt CO2/yr,2040,786.4506708707361,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Emissions|CO2,Mt CO2/yr,2100,-1981.146865071156,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Emissions|CO2,Mt CO2/yr,2050,-566.421269468302,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Emissions|CO2,Mt CO2/yr,2090,-1665.599102330627,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Emissions|CO2,Mt CO2/yr,2080,-1625.813368786158,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Emissions|CO2,Mt CO2/yr,2070,-1564.559766911642,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Emissions|CO2,Mt CO2/yr,2060,-1399.140961456337,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Emissions|CO2,Mt CO2/yr,2045,148.1095554168561,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Emissions|CO2,Mt CO2/yr,2035,1479.211024100945,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Emissions|CO2,Mt CO2/yr,2030,2126.232097819026,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Emissions|CO2,Mt CO2/yr,2025,3035.965899425573,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Emissions|CO2,Mt CO2/yr,2020,2019.917773112503,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Emissions|CO2,Mt CO2/yr,2040,692.9306374226128,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Final Energy,EJ/yr,2050,26.36671044921875,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Final Energy,EJ/yr,2090,73.45234423828126,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Final Energy,EJ/yr,2100,86.94389624023438,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Final Energy,EJ/yr,2080,60.01139453125,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Final Energy,EJ/yr,2070,46.62777001953125,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Final Energy,EJ/yr,2060,35.156109375,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Final Energy,EJ/yr,2045,24.57958129882812,GW2-IIIb,GW2b,GW2,ok
