model,scenario,version,region,variable,unit,year,value,Climate Category|SCI 2025 [Tier III],Climate Category|SCI 2025 [Tier II],Climate Category|SCI 2025 [Tier I],Vetting|SCI 2025
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Carbon Capture|Geological Storage|Biomass,Mt CO2/yr,2035,5.414148725814061,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Carbon Capture|Geological Storage|Biomass,Mt CO2/yr,2030,1.567298374378267,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Carbon Capture|Geological Storage|Biomass,Mt CO2/yr,2025,0.013889985970965,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Carbon Capture|Geological Storage|Biomass,Mt CO2/yr,2020,0.0,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Carbon Capture|Geological Storage|Biomass,Mt CO2/yr,2040,30.92857913763948,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Carbon Removal|Land Use,Mt CO2/yr,2040,2018.782059535129,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Carbon Removal|Land Use,Mt CO2/yr,2100,7188.263536153051,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Carbon Removal|Land Use,Mt CO2/yr,2090,7352.425893816188,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Carbon Removal|Land Use,Mt CO2/yr,2080,6923.079332345273,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Carbon Removal|Land Use,Mt CO2/yr,2070,6348.699252387864,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Carbon Removal|Land Use,Mt CO2/yr,2060,5452.286522089392,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Carbon Removal|Land Use,Mt CO2/yr,2050,4158.391436319096,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Carbon Removal|Land Use,Mt CO2/yr,2030,266.5118153138847,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Carbon Removal|Land Use,Mt CO2/yr,2035,644.8963930795748,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Carbon Removal|Land Use,Mt CO2/yr,2025,0.0,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Carbon Removal|Land Use,Mt CO2/yr,2020,0.0,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Carbon Removal|Land Use,Mt CO2/yr,2045,3224.118133679078,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Emissions|CO2,Mt CO2/yr,2090,-4863.576864048914,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Emissions|CO2,Mt CO2/yr,2080,-4341.040161527452,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Emissions|CO2,Mt CO2/yr,2070,-3561.743245766503,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Emissions|CO2,Mt CO2/yr,2060,-1961.633992691351,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Emissions|CO2,Mt CO2/yr,2050,1276.169413364713,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Emissions|CO2,Mt CO2/yr,2045,6008.152466366508,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Emissions|CO2,Mt CO2/yr,2100,-5223.96606492803,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Emissions|CO2,Mt CO2/yr,2035,19515.43408380538,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Emissions|CO2,Mt CO2/yr,2030,26681.06754799847,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Emissions|CO2,Mt CO2/yr,2025,41394.65071990898,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Emissions|CO2,Mt CO2/yr,2020,39603.19043328779,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Emissions|CO2,Mt CO2/yr,2040,12003.07503364327,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Final Energy,EJ/yr,2050,320.9598125,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Final Energy,EJ/yr,2100,427.22490625,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Final Energy,EJ/yr,2090,409.172,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Final Energy,EJ/yr,2080,389.52959375,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Final Energy,EJ/yr,2070,365.5168125,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Final Energy,EJ/yr,2060,341.5515,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Final Energy,EJ/yr,2045,321.667,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Final Energy,EJ/yr,2035,350.08490625,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Final Energy,EJ/yr,2030,371.67440625,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Final Energy,EJ/yr,2025,431.8265,GW2-IIIb,GW2b,GW2,ok
