model,scenario,version,Climate Category|SCI 2025 [Tier I],missing_iamee_variables,missing_sci_variables,incomplete_variable_count
WITCH 5.0,ENGAGE-INDCi2030-800f,1,GW3,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
WITCH 5.0,ENGAGE-INDCi2030-800f-NDCp,1,GW3,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
WITCH 5.0,ENGAGE-INDCi2030-900,1,GW3,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
WITCH 5.0,ENGAGE-INDCi2030-900-NDCp,1,GW3,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
WITCH 5.0,ENGAGE-INDCi2030-900f,1,GW3,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
WITCH 5.0,ENGAGE-INDCi2030-900f-NDCp,1,GW3,Food Demand|Crops; Food Demand|Livestock,Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],2
GCAM 5.3,NGFS Phase 2-Below 2°C,1,GW3,Carbon Sequestration|Land Use; Food Demand|Crops; Food Demand|Livestock,Carbon Removal|Land Use; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],3
GCAM 5.3,NGFS Phase 2-Delayed Transition,1,GW4,Carbon Sequestration|Land Use; Food Demand|Crops; Food Demand|Livestock,Carbon Removal|Land Use; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],3
GCAM 6.0 NGFS,NGFS Phase 5-Below 2°C,1,GW3,Carbon Sequestration|Land Use; Food Demand|Crops; Food Demand|Livestock,Carbon Removal|Land Use; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],3
GCAM 6.0 NGFS,NGFS Phase 5-Delayed Transition,1,GW3,Carbon Sequestration|Land Use; Food Demand|Crops; Food Demand|Livestock,Carbon Removal|Land Use; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],3
GCAM 6.0 NGFS,NGFS Phase 5-Low Demand,1,GW2,Carbon Sequestration|Land Use; Food Demand|Crops; Food Demand|Livestock,Carbon Removal|Land Use; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],3
GCAM 6.0 NGFS,NGFS Phase 5-Net-Zero 2050,1,GW2,Carbon Sequestration|Land Use; Food Demand|Crops; Food Demand|Livestock,Carbon Removal|Land Use; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],3
