model,scenario,version,Climate Category|SCI 2025 [Tier III],Climate Category|SCI 2025 [Tier II],Climate Category|SCI 2025 [Tier I],Vetting|SCI 2025
POLES-JRC ENGAGE,ENGAGE-NPi2020-1200f,1,GW4-IIb,GW4,GW4,ok
POLES-JRC ENGAGE,ENGAGE-NPi2020-900f,1,GW4-IIa,GW4,GW4,ok
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition,1,GW3-IIb,GW3b,GW3,ok
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150,1,GW4-IIa,GW4,GW4,ok
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE,1,GW4-IIa,GW4,GW4,ok
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,1,GW3-I,GW3a,GW3,ok
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,1,GW3-I,GW3a,GW3,ok
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,1,GW3-IIb,GW3b,GW3,ok
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,1,GW3-IIb,GW3b,GW3,ok
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,1,GW3-IIb,GW3b,GW3,ok
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,1,GW3-IIb,GW3b,GW3,ok
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,1,GW2-I,GW2a,GW2,ok
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,1,GW2-II,GW2a,GW2,ok
WITCH 5.0,ENGAGE-INDCi2030-1000,1,GW3-IIb,GW3b,GW3,ok
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,1,GW3-IIb,GW3b,GW3,ok
WITCH 5.0,ENGAGE-INDCi2030-1000f,1,GW3-IIa,GW3b,GW3,ok
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,1,GW3-IIa,GW3b,GW3,ok
WITCH 5.0,ENGAGE-INDCi2030-1200,1,GW4-IIb,GW4,GW4,ok
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,1,GW4-IIb,GW4,GW4,ok
WITCH 5.0,ENGAGE-INDCi2030-1200f,1,GW4-IIa,GW4,GW4,ok
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,1,GW4-IIa,GW4,GW4,ok
WITCH 5.0,ENGAGE-INDCi2030-1400,1,GW4-IIc,GW4,GW4,ok
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,1,GW4-IIb,GW4,GW4,ok
WITCH 5.0,ENGAGE-INDCi2030-1400f,1,GW4-IIc,GW4,GW4,ok
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,1,GW4-IIb,GW4,GW4,ok
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,1,GW4-IIc,GW4,GW4,ok
WITCH 5.0,ENGAGE-INDCi2030-500f,1,GW2-II,GW2a,GW2,ok
WITCH 5.0,ENGAGE-INDCi2030-600f,1,GW3-IIa,GW3b,GW3,ok
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,1,GW3-IIa,GW3b,GW3,ok
WITCH 5.0,ENGAGE-INDCi2030-700f,1,GW3-IIa,GW3b,GW3,ok
WITCH 5.0,ENGAGE-INDCi2030-700f-NDCp,1,GW3-IIa,GW3b,GW3,ok
WITCH 5.0,ENGAGE-INDCi2030-800,1,GW2-IIIb,GW2b,GW2,ok
WITCH 5.0,ENGAGE-INDCi2030-800-NDCp,1,GW2-IIIb,GW2b,GW2,ok
WITCH 5.0,ENGAGE-INDCi2030-800f,1,GW3-IIa,GW3b,GW3,ok
WITCH 5.0,ENGAGE-INDCi2030-800f-NDCp,1,GW3-IIa,GW3b,GW3,ok
WITCH 5.0,ENGAGE-INDCi2030-900,1,GW3-IIb,GW3b,GW3,ok
WITCH 5.0,ENGAGE-INDCi2030-900-NDCp,1,GW3-IIb,GW3b,GW3,ok
WITCH 5.0,ENGAGE-INDCi2030-900f,1,GW3-IIa,GW3b,GW3,ok
WITCH 5.0,ENGAGE-INDCi2030-900f-NDCp,1,GW3-IIa,GW3b,GW3,ok
