model,scenario,version,reported_r10_variable_pairs,required_r10_variable_pairs,has_all_mandatory_variables_at_all_r10_regions
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,1,200,200,True
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp,1,200,200,True
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200,1,200,200,True
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200f,1,200,200,True
POLES-JRC ENGAGE,ENGAGE-INDCi2030-300f,1,200,200,True
POLES-JRC ENGAGE,ENGAGE-INDCi2030-400f,1,200,200,True
POLES-JRC ENGAGE,ENGAGE-INDCi2030-500f,1,200,200,True
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f,1,200,200,True
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV,1,200,200,True
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV-NDCp,1,200,200,True
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-NDCp,1,200,200,True
POLES-JRC ENGAGE,ENGAGE-INDCi2030-700f,1,200,200,True
POLES-JRC ENGAGE,ENGAGE-INDCi2030-800f,1,200,200,True
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900,1,200,200,True
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900f,1,200,200,True
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f,1,200,200,True
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f-COV,1,200,200,True
POLES-JRC ENGAGE,ENGAGE-NPi2020-1200f,1,200,200,True
POLES-JRC ENGAGE,ENGAGE-NPi2020-900f,1,200,200,True
REMIND 3.5,Rescuing-1.5°C-Highest-Possible-Ambition,1,170,200,False
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition,1,200,200,True
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150,1,200,200,True
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE,1,200,200,True
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,1,200,200,True
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,1,200,200,True
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,1,200,200,True
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,1,200,200,True
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,1,200,200,True
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,1,200,200,True
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,1,200,200,True
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,1,200,200,True
TIAM-ECN 1.1,ENGAGE-INDCi2030-1000,1,120,200,False
TIAM-ECN 1.1,ENGAGE-INDCi2030-1000-COV,1,120,200,False
TIAM-ECN 1.1,ENGAGE-INDCi2030-1000-NDCp,1,120,200,False
TIAM-ECN 1.1,ENGAGE-INDCi2030-1000f,1,120,200,False
TIAM-ECN 1.1,ENGAGE-INDCi2030-1000f-COV,1,120,200,False
TIAM-ECN 1.1,ENGAGE-INDCi2030-1000f-NDCp,1,120,200,False
TIAM-ECN 1.1,ENGAGE-INDCi2030-1200,1,120,200,False
TIAM-ECN 1.1,ENGAGE-INDCi2030-1200f,1,120,200,False
TIAM-ECN 1.1,ENGAGE-INDCi2030-1400,1,120,200,False
TIAM-ECN 1.1,ENGAGE-INDCi2030-1400f,1,120,200,False
TIAM-ECN 1.1,ENGAGE-INDCi2030-1600,1,120,200,False
TIAM-ECN 1.1,ENGAGE-INDCi2030-900,1,120,200,False
TIAM-ECN 1.1,ENGAGE-INDCi2030-900f,1,120,200,False
TIAM-ECN 1.1,ENGAGE-NPi2020-1000,1,120,200,False
TIAM-ECN 1.1,ENGAGE-NPi2020-1000-COV,1,120,200,False
TIAM-ECN 1.1,ENGAGE-NPi2020-1000f,1,120,200,False
TIAM-ECN 1.1,ENGAGE-NPi2020-1000f-COV,1,120,200,False
TIAM-ECN 1.1,ENGAGE-NPi2020-1200,1,120,200,False
TIAM-ECN 1.1,ENGAGE-NPi2020-1200f,1,120,200,False
TIAM-ECN 1.1,ENGAGE-NPi2020-1400,1,120,200,False
TIAM-ECN 1.1,ENGAGE-NPi2020-1400f,1,120,200,False
TIAM-ECN 1.1,ENGAGE-NPi2020-1600,1,120,200,False
TIAM-ECN 1.1,ENGAGE-NPi2020-800,1,120,200,False
TIAM-ECN 1.1,ENGAGE-NPi2020-800f,1,120,200,False
TIAM-ECN 1.1,ENGAGE-NPi2020-900,1,120,200,False
TIAM-ECN 1.1,ENGAGE-NPi2020-900f,1,120,200,False
WITCH 5.0,ENGAGE-INDCi2030-1000,1,200,200,True
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,1,200,200,True
WITCH 5.0,ENGAGE-INDCi2030-1000f,1,200,200,True
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,1,200,200,True
WITCH 5.0,ENGAGE-INDCi2030-1200,1,200,200,True
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,1,200,200,True
WITCH 5.0,ENGAGE-INDCi2030-1200f,1,200,200,True
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,1,200,200,True
WITCH 5.0,ENGAGE-INDCi2030-1400,1,200,200,True
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,1,200,200,True
WITCH 5.0,ENGAGE-INDCi2030-1400f,1,200,200,True
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,1,200,200,True
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,1,200,200,True
WITCH 5.0,ENGAGE-INDCi2030-500f,1,200,200,True
WITCH 5.0,ENGAGE-INDCi2030-600f,1,200,200,True
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,1,200,200,True
WITCH 5.0,ENGAGE-INDCi2030-700f,1,200,200,True
WITCH 5.0,ENGAGE-INDCi2030-700f-NDCp,1,200,200,True
WITCH 5.0,ENGAGE-INDCi2030-800,1,200,200,True
WITCH 5.0,ENGAGE-INDCi2030-800-NDCp,1,200,200,True
WITCH 5.0,ENGAGE-INDCi2030-800f,1,200,200,True
WITCH 5.0,ENGAGE-INDCi2030-800f-NDCp,1,200,200,True
WITCH 5.0,ENGAGE-INDCi2030-900,1,200,200,True
WITCH 5.0,ENGAGE-INDCi2030-900-NDCp,1,200,200,True
WITCH 5.0,ENGAGE-INDCi2030-900f,1,200,200,True
WITCH 5.0,ENGAGE-INDCi2030-900f-NDCp,1,200,200,True
