model,scenario,version,reported_r10_variable_pairs,required_r10_variable_pairs,has_all_mandatory_variables_at_all_r10_regions
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,1,210,230,False
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,1,210,230,False
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,1,230,230,True
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,230,230,True
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,1,230,230,True
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,1,230,230,True
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,1,230,230,True
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,1,230,230,True
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,1,230,230,True
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,1,230,230,True
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),1,230,230,True
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,1,230,230,True
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,1,200,230,False
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,1,200,230,False
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,1,200,230,False
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,1,200,230,False
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,1,200,230,False
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,1,200,230,False
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,1,200,230,False
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp,1,200,230,False
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200,1,200,230,False
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200f,1,200,230,False
POLES-JRC ENGAGE,ENGAGE-INDCi2030-300f,1,200,230,False
POLES-JRC ENGAGE,ENGAGE-INDCi2030-400f,1,200,230,False
POLES-JRC ENGAGE,ENGAGE-INDCi2030-500f,1,200,230,False
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f,1,200,230,False
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV,1,200,230,False
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV-NDCp,1,200,230,False
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-NDCp,1,200,230,False
POLES-JRC ENGAGE,ENGAGE-INDCi2030-700f,1,200,230,False
POLES-JRC ENGAGE,ENGAGE-INDCi2030-800f,1,200,230,False
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900,1,200,230,False
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900f,1,200,230,False
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f,1,200,230,False
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f-COV,1,200,230,False
POLES-JRC ENGAGE,ENGAGE-NPi2020-1200f,1,200,230,False
POLES-JRC ENGAGE,ENGAGE-NPi2020-900f,1,200,230,False
REMIND 3.5,Rescuing-1.5°C-Highest-Possible-Ambition,1,180,230,False
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition,1,210,230,False
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150,1,230,230,True
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE,1,230,230,True
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,1,230,230,True
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,1,230,230,True
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,1,230,230,True
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,1,230,230,True
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,1,230,230,True
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,1,230,230,True
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,1,230,230,True
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,1,230,230,True
TIAM-ECN 1.1,ENGAGE-INDCi2030-1000,1,130,230,False
TIAM-ECN 1.1,ENGAGE-INDCi2030-1000-COV,1,130,230,False
TIAM-ECN 1.1,ENGAGE-INDCi2030-1000-NDCp,1,130,230,False
TIAM-ECN 1.1,ENGAGE-INDCi2030-1000f,1,130,230,False
TIAM-ECN 1.1,ENGAGE-INDCi2030-1000f-COV,1,130,230,False
TIAM-ECN 1.1,ENGAGE-INDCi2030-1000f-NDCp,1,130,230,False
TIAM-ECN 1.1,ENGAGE-INDCi2030-1200,1,130,230,False
TIAM-ECN 1.1,ENGAGE-INDCi2030-1200f,1,130,230,False
TIAM-ECN 1.1,ENGAGE-INDCi2030-1400,1,130,230,False
TIAM-ECN 1.1,ENGAGE-INDCi2030-1400f,1,130,230,False
TIAM-ECN 1.1,ENGAGE-INDCi2030-1600,1,130,230,False
TIAM-ECN 1.1,ENGAGE-INDCi2030-900,1,130,230,False
TIAM-ECN 1.1,ENGAGE-INDCi2030-900f,1,130,230,False
TIAM-ECN 1.1,ENGAGE-NPi2020-1000,1,130,230,False
